Pais,Latitud,Longitud
Rwanda,-2.0,30.0
Monaco,43.73333333,7.4
São Tomé and Príncipe,1.0,7.0
Republic of the Congo,-1.0,15.0
Paraguay,-23.0,-58.0
Bouvet Island,-54.4208,3.3464
Mozambique,-18.25,35.0
France,46.0,2.0
Eswatini,-26.5,31.5
Barbados,13.16666666,-59.53333333
Spain,40.0,-4.0
Thailand,15.0,100.0
Guinea-Bissau,12.0,-15.0
Angola,-12.5,18.5
India,20.0,77.0
Martinique,14.666667,-61.0
New Caledonia,-21.5,165.5
Seychelles,-4.58333333,55.66666666
Falkland Islands,-51.75,-59.0
United Kingdom,54.0,-2.0
Fiji,-17.7134,178.065
San Marino,43.76666666,12.41666666
Mali,17.0,-4.0
Canada,60.0,-95.0
Jamaica,18.25,-77.5
Nauru,-0.53333333,166.91666666
Indonesia,-5.0,120.0
Guam,13.46666666,144.78333333
Ivory Coast,8.0,-5.0
Kuwait,29.5,45.75
Philippines,13.0,122.0
Guyana,5.0,-59.0
Hungary,47.0,20.0
Mexico,23.0,-102.0
North Korea,40.0,127.0
Romania,46.0,25.0
Suriname,4.0,-56.0
American Samoa,-14.33333333,-170.0
Nepal,28.0,84.0
Chad,15.0,19.0
Serbia,44.0,21.0
Cambodia,13.0,105.0
Malaysia,2.5,112.5
Cyprus,35.0,33.0
